lang,task,test_accuracy,test_duration
nl,read,0.54,0 days 00:00:57.297345
pt,write,0.746,0 days 00:00:57.230548
pt,read,0.811,0 days 00:00:57.191158
ru,write,0.412,0 days 00:00:57.392191
ru,read,0.977,0 days 00:00:57.350227
sh,write,0.992,0 days 00:00:57.391410
sh,read,0.994,0 days 00:00:57.372872
tr,write,0.949,0 days 00:00:57.297918
tr,read,0.959,0 days 00:00:57.346746
zh,write,0.186,0 days 00:00:57.309964
zh,read,0.8,0 days 00:00:56.652611
ent,write,0.999,0 days 00:00:57.818521
ent,read,0.999,0 days 00:00:57.896319
eno,write,0.0,0 days 00:00:57.773490
eno,read,0.0,0 days 00:00:57.799256
ar,write,0.842,0 days 00:00:57.661147
ar,read,0.999,0 days 00:00:57.793060
br,write,0.803,0 days 00:00:57.566286
br,read,0.773,0 days 00:00:57.676296
de,write,0.671,0 days 00:00:57.795769
de,read,0.791,0 days 00:00:57.704600
en,write,0.362,0 days 00:00:57.111866
en,read,0.294,0 days 00:00:57.130237
eo,write,0.996,0 days 00:00:57.276749
eo,read,0.997,0 days 00:00:57.205540
es,write,0.707,0 days 00:00:57.212257
es,read,0.836,0 days 00:00:57.258507
fi,write,0.976,0 days 00:00:57.291044
fi,read,0.919,0 days 00:00:57.267024
fr,write,0.301,0 days 00:00:57.241005
fr,read,0.8,0 days 00:00:57.278820
fro,write,0.988,0 days 00:00:57.222208
fro,read,0.894,0 days 00:00:57.311221
it,write,0.943,0 days 00:00:57.238487
it,read,0.715,0 days 00:00:57.189397
ko,write,0.815,0 days 00:00:57.258615
ko,read,0.97,0 days 00:00:57.123120
nl,write,0.721,0 days 00:00:57.071222
nl,read,0.585,0 days 00:00:57.187421
pt,write,0.76,0 days 00:00:57.118247
pt,read,0.833,0 days 00:00:57.148659
ru,write,0.43,0 days 00:00:57.240464
ru,read,0.98,0 days 00:00:57.286336
sh,write,0.994,0 days 00:00:57.160808
sh,read,0.995,0 days 00:00:57.211567
tr,write,0.964,0 days 00:00:57.246783
tr,read,0.963,0 days 00:00:57.322091
zh,write,0.212,0 days 00:00:57.284952
zh,read,0.77,0 days 00:00:56.603734
ent,write,0.987,0 days 00:00:57.938491
ent,read,0.997,0 days 00:00:57.983970
eno,write,0.0,0 days 00:00:57.886177
eno,read,0.0,0 days 00:00:57.838194
ar,write,0.832,0 days 00:00:57.863436
ar,read,0.992,0 days 00:00:57.830111
br,write,0.806,0 days 00:00:57.685891
br,read,0.758,0 days 00:00:57.710288
de,write,0.682,0 days 00:00:57.948928
de,read,0.792,0 days 00:00:57.995171
en,write,0.354,0 days 00:00:57.673237
en,read,0.316,0 days 00:00:57.676245
eo,write,0.992,0 days 00:00:57.797063
eo,read,0.998,0 days 00:00:57.771871
es,write,0.665,0 days 00:00:57.775109
es,read,0.841,0 days 00:00:57.827329
fi,write,0.976,0 days 00:00:57.933384
fi,read,0.909,0 days 00:00:57.859807
fr,write,0.256,0 days 00:00:57.797853
fr,read,0.785,0 days 00:00:57.896658
fro,write,0.99,0 days 00:00:57.857851
fro,read,0.87,0 days 00:00:57.367822
it,write,0.951,0 days 00:00:57.438746
it,read,0.705,0 days 00:00:57.393897
ko,write,0.813,0 days 00:00:57.398728
ko,read,0.979,0 days 00:00:57.364320
nl,write,0.725,0 days 00:00:57.247386
nl,read,0.576,0 days 00:00:57.275061
pt,write,0.756,0 days 00:00:57.239999
pt,read,0.834,0 days 00:00:57.290837
ru,write,0.436,0 days 00:00:57.417952
ru,read,0.968,0 days 00:00:57.372704
sh,write,0.989,0 days 00:00:57.363312
sh,read,0.987,0 days 00:00:57.272404
tr,write,0.95,0 days 00:00:57.361860
tr,read,0.96,0 days 00:00:57.354863
zh,write,0.2,0 days 00:00:57.434848
zh,read,0.791,0 days 00:00:56.763218
ent,write,0.996,0 days 00:00:57.499359
ent,read,1.0,0 days 00:00:57.550794
eno,write,0.0,0 days 00:00:57.416519
eno,read,0.0,0 days 00:00:57.397253
ar,write,0.843,0 days 00:00:57.324520
ar,read,0.995,0 days 00:00:57.526335
br,write,0.813,0 days 00:00:57.221668
br,read,0.791,0 days 00:00:57.308782
de,write,0.699,0 days 00:00:57.520204
de,read,0.783,0 days 00:00:57.517793
en,write,0.363,0 days 00:00:57.241354
en,read,0.322,0 days 00:00:57.291171
eo,write,0.994,0 days 00:00:57.412403
eo,read,0.999,0 days 00:00:57.377299
es,write,0.662,0 days 00:00:57.365433
es,read,0.861,0 days 00:00:57.499560
fi,write,0.98,0 days 00:00:57.418297
fi,read,0.93,0 days 00:00:57.452944
fr,write,0.292,0 days 00:00:57.371999
fr,read,0.809,0 days 00:00:57.477120
fro,write,0.991,0 days 00:00:57.416506
fro,read,0.913,0 days 00:00:57.492528
it,write,0.946,0 days 00:00:57.464988
it,read,0.728,0 days 00:00:57.387494
ko,write,0.84,0 days 00:00:57.386552
ko,read,0.98,0 days 00:00:57.351324
nl,write,0.732,0 days 00:00:57.297007
nl,read,0.523,0 days 00:00:57.324512
pt,write,0.766,0 days 00:00:57.360212
pt,read,0.818,0 days 00:00:57.394014
ru,write,0.407,0 days 00:00:57.490264
ru,read,0.971,0 days 00:00:57.433100
sh,write,0.991,0 days 00:00:57.346485
sh,read,0.996,0 days 00:00:57.389694
tr,write,0.96,0 days 00:00:57.415138
tr,read,0.97,0 days 00:00:57.470423
zh,write,0.208,0 days 00:00:57.484234
zh,read,0.785,0 days 00:00:56.777503
